Sentence
"The Lenovo IdeaPad 3 Core i3 10th Gen, equipped with a Intel Core i3 Processor (10th Gen), boasts a solid 4.3-star rating based on 8 reviews. It features 4 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 31990 rupees, down from the MRP of 53790 rupees."
"The realme Book(Slim) Intel Evo Core i5 11th Gen, equipped with a Powered by 11th Gen Intel Evo Core i5 Processor, boasts a solid 4.4-star rating based on 7067 reviews. It features Microsoft Office 2019 Home & Student Included and Intel Core i5 Processor (11th Gen) for efficient multitasking and storage, all at a discounted price of 59990 rupees, down from the MRP of 69999 rupees."
"The ASUS VivoBook 15 (2022) Core i3 10th Gen, equipped with a Intel Core i3 Processor (10th Gen), boasts a solid 4.3-star rating based on 9970 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 32990 rupees, down from the MRP of 45990 rupees."
"The HP Pavilion Ryzen 5 Hexa Core AMD R5, equipped with a AMD Ryzen 5 Hexa Core Processor, boasts a solid 4.4-star rating based on 11854 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 52990 rupees, down from the MRP of 63539 rupees."
"The Lenovo Intel Celeron Dual Core, equipped with a Intel Celeron Dual Core Processor, boasts a solid 4.1-star rating based on 366 reviews. It features 8 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 28490 rupees, down from the MRP of 40490 rupees."
"The ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5, equipped with a AMD Ryzen 5 Hexa Core Processor, boasts a solid 4.4-star rating based on 1340 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 63990 rupees, down from the MRP of 71990 rupees."
"The acer Aspire 3 Ryzen 3 Dual Core 3250U, equipped with a AMD Ryzen 3 Dual Core Processor, boasts a solid 4.2-star rating based on 263 reviews. It features 8 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 26990 rupees, down from the MRP of 42999 rupees."
"The HP 14s Intel Core i3 11th Gen, equipped with a Intel Core i3 Processor (11th Gen), boasts a solid 4.2-star rating based on 1556 reviews. It features 8 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 35990 rupees, down from the MRP of 47206 rupees."
"The Lenovo V15 G2 Core i3 11th Gen, equipped with a Intel Core i3 Processor (11th Gen), boasts a solid 3.8-star rating based on 22 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 33999 rupees, down from the MRP of 59760 rupees."
"The RedmiBook Pro Core i5 11th Gen, equipped with a Intel Core i5 Processor (11th Gen), boasts a solid 4.1-star rating based on 3641 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 39990 rupees, down from the MRP of 59999 rupees."
"The HP Intel Core i5 11th Gen, equipped with a Intel Core i5 Processor (11th Gen), boasts a solid 4.2-star rating based on 25 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 52990 rupees, down from the MRP of 56903 rupees."
"The HP Ryzen 3 Dual Core 3250U, equipped with a AMD Ryzen 3 Dual Core Processor, boasts a solid 4.1-star rating based on 1060 reviews. It features 8 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 29990 rupees, down from the MRP of 43631 rupees."
"The HP Ryzen 5 Hexa Core 5500U, equipped with a AMD Ryzen 5 Hexa Core Processor, boasts a solid 4.3-star rating based on 1056 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 45727 rupees, down from the MRP of 59778 rupees."
"The ASUS Vivobook Ultra 14 (2022) Core i5 11th Gen, equipped with a Intel Core i5 Processor (11th Gen), boasts a solid 4.4-star rating based on 153 reviews. It features 16 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 56990 rupees, down from the MRP of 81990 rupees."
"The ASUS VivoBook 14 (2021) Celeron Dual Core, equipped with a Intel Celeron Dual Core Processor, boasts a solid 4.1-star rating based on 698 reviews. It features 4 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 23990 rupees, down from the MRP of 33990 rupees."
"The DELL Vostro Core i3 11th Gen, equipped with a Processor: Intel i3-1115G4 (Base- 1.7 GHz & Turbo up to 4.10 GHz) 2 Cores, boasts a solid 4.2-star rating based on 35 reviews. It features RAM & Storage: 8GB DDR4 & 1TB HDD + 256GB SSD and Display: 15.6"" FHD WVA AG Narrow Border for efficient multitasking and storage, all at a discounted price of 42290 rupees, down from the MRP of 58489 rupees."
"The HP 15s Intel Core i3 11th Gen, equipped with a Intel Core i3 Processor (11th Gen), boasts a solid 4.2-star rating based on 328 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 40990 rupees, down from the MRP of 50585 rupees."
"The ASUS Vivobook 15 Touch Core i3 11th Gen, equipped with a Intel Core i3 Processor (11th Gen), boasts a solid 4.3-star rating based on 317 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 41990 rupees, down from the MRP of 60990 rupees."
"The HP 15s Intel Core i5 12th Gen, equipped with a Intel Core i5 Processor (12th Gen), boasts a solid 4.2-star rating based on 1914 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 56899 rupees, down from the MRP of 70235 rupees."
"The Lenovo V15 G2 Core i3 11th Gen, equipped with a Intel Core i3 Processor (11th Gen), boasts a solid 3.9-star rating based on 10 reviews. It features 8 GB DDR4 RAM and 1 TB HDD|256 GB SSD for efficient multitasking and storage, all at a discounted price of 35999 rupees, down from the MRP of 60120 rupees."
"The HP Ryzen 5 Hexa Core 5500U, equipped with a AMD Ryzen 5 Hexa Core Processor, boasts a solid 4.3-star rating based on 278 reviews. It features 16 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 50490 rupees, down from the MRP of 59108 rupees."
"The ASUS Vivobook 15 Core i3 10th Gen, equipped with a Intel Core i3 Processor (10th Gen), boasts a solid 4.1-star rating based on 168 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 33990 rupees, down from the MRP of 50990 rupees."
"The HP G8 Ryzen 3 Dual Core AMD Ryzen 3 3250U, equipped with a AMD Ryzen 3 Dual Core Processor, boasts a solid 0.0-star rating based on 0 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 28490 rupees, down from the MRP of 40528 rupees."
"The Lenovo Celeron Dual Core, equipped with a Intel Celeron Dual Core Processor, boasts a solid 3.8-star rating based on 204 reviews. It features 4 GB LPDDR4 RAM and 256 GB HDD|256 GB SSD for efficient multitasking and storage, all at a discounted price of 19990 rupees, down from the MRP of 36000 rupees."
"The HP 14s Intel Core i5 12th Gen, equipped with a Intel Core i5 Processor (12th Gen), boasts a solid 4.2-star rating based on 1284 reviews. It features 16 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 58899 rupees, down from the MRP of 75191 rupees."
"The ASUS Core i7 11th Gen, equipped with a Intel Core i7 Processor (11th Gen), boasts a solid 4.0-star rating based on 89 reviews. It features 16 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 56990 rupees, down from the MRP of 80990 rupees."
"The Infinix INBook X1 Neo Series Celeron Quad Core, equipped with a Intel Celeron Quad Core Processor, boasts a solid 4.1-star rating based on 738 reviews. It features 4 GB LPDDR4X RAM and 128 GB SSD for efficient multitasking and storage, all at a discounted price of 20990 rupees, down from the MRP of 29990 rupees."
"The Lenovo IdeaPad 3 Core i3 10th Gen, equipped with a Intel Core i3 Processor (10th Gen), boasts a solid 4.3-star rating based on 8 reviews. It features 4 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 31990 rupees, down from the MRP of 53790 rupees."
"The ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7, equipped with a AMD Ryzen 7 Octa Core Processor, boasts a solid 4.5-star rating based on 755 reviews. It features 16 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 59990 rupees, down from the MRP of 82990 rupees."
"The ASUS Vivobook 15 Core i3 11th Gen, equipped with a Intel Core i3 Processor (11th Gen), boasts a solid 4.2-star rating based on 179 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 39990 rupees, down from the MRP of 50990 rupees."
"The HP Ryzen 5 Hexa Core 5500U, equipped with a AMD Ryzen 5 Hexa Core Processor, boasts a solid 4.3-star rating based on 208 reviews. It features 16 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 50499 rupees, down from the MRP of 63289 rupees."
"The realme Book(Slim) Intel Evo Core i5 11th Gen, equipped with a Powered by 11th Gen Intel Evo Core i5 Processor, boasts a solid 4.4-star rating based on 7067 reviews. It features Microsoft Office 2019 Home & Student Included and Intel Core i5 Processor (11th Gen) for efficient multitasking and storage, all at a discounted price of 59990 rupees, down from the MRP of 69999 rupees."
"The MSI Core i5 11th Gen, equipped with a Intel Core i5 Processor (11th Gen), boasts a solid 4.5-star rating based on 235 reviews. It features 8 GB DDR4 RAM and 512 GB SSD for efficient multitasking and storage, all at a discounted price of 59990 rupees, down from the MRP of 78990 rupees."
"The DELL Inspiron Core i3 11th Gen, equipped with a Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores, boasts a solid 4.2-star rating based on 341 reviews. It features RAM & Storage: 8GB DDR4 & 1TB + 256GB SSD and Display: 15.6"" FHD WVA AG Narrow Border for efficient multitasking and storage, all at a discounted price of 42490 rupees, down from the MRP of 61202 rupees."
"The SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2, equipped with a Qualcomm Snapdragon 7c Gen 2 Processor, boasts a solid 4.3-star rating based on 102 reviews. It features 4 GB LPDDR4X RAM and 35.56 cm (14 Inch) Display for efficient multitasking and storage, all at a discounted price of 32990 rupees, down from the MRP of 47990 rupees."
"The Lenovo Ryzen 5 Hexa Core 5600H, equipped with a AMD Ryzen 5 Hexa Core Processor, boasts a solid 0.0-star rating based on 0 reviews. It features 8 GB DDR4 RAM and 256 GB SSD for efficient multitasking and storage, all at a discounted price of 59490 rupees, down from the MRP of 89490 rupees."
